,Track,Track_ID,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,tempo,id,duration_ms,Cluster
0,Brazilian Soul (feat. Sofi Tukker) - Acoustic Bossa Version,5iX7aAVoO3dzUOZ1eAvg6f,0.692,0.533,1,-9.473,1,0.0587,0.808,1.64e-05,0.11,83.529,5iX7aAVoO3dzUOZ1eAvg6f,250934,0
1,Helpless,7hyFz1ms1XEHbE2KqUbUQ8,0.68,0.336,6,-11.43,1,0.0754,0.843,0.00639,0.135,87.994,7hyFz1ms1XEHbE2KqUbUQ8,221053,1
2,Morenita,0iCpsyn72qAsDI0wTSkln6,0.838,0.652,2,-6.652,1,0.0499,0.00919,0.484,0.039,89.021,0iCpsyn72qAsDI0wTSkln6,217427,1
3,Summer Maddness S.A.,6HDM2OxgzJ28iEhNWq0KQ8,0.677,0.649,7,-9.735,1,0.345,0.196,0.0,0.163,89.661,6HDM2OxgzJ28iEhNWq0KQ8,125027,1
4,Toi Et Moi,3AVyKOmMgvRjsC576xWw78,0.703,0.76,11,-7.308,0,0.0635,0.00412,0.761,0.111,113.01,3AVyKOmMgvRjsC576xWw78,220853,1
5,Toi Et Moi,3AVyKOmMgvRjsC576xWw78,0.703,0.76,11,-7.308,0,0.0635,0.00412,0.761,0.111,113.01,3AVyKOmMgvRjsC576xWw78,220853,1
6,No,1fhIOXvolJoR1cIbS6ryyp,0.583,0.409,6,-15.926,0,0.392,0.802,0.24,0.139,89.887,1fhIOXvolJoR1cIbS6ryyp,394121,2
7,Stumble,3uvALUobqjZvTGAh6737Mb,0.665,0.549,7,-11.388,0,0.0458,0.0917,0.557,0.0583,91.036,3uvALUobqjZvTGAh6737Mb,270720,0
8,Stumble,3uvALUobqjZvTGAh6737Mb,0.665,0.549,7,-11.388,0,0.0458,0.0917,0.557,0.0583,91.036,3uvALUobqjZvTGAh6737Mb,270720,0
9,Huacachina,3zRhKaZXEUGrJqMGN5KtXy,0.784,0.65,2,-5.419,0,0.0283,0.438,0.166,0.135,110.019,3zRhKaZXEUGrJqMGN5KtXy,213865,1
10,Work,01D7nX5t321cgGgehXH0MU,0.779,0.621,11,-9.839,0,0.084,0.34,0.0103,0.0747,91.959,01D7nX5t321cgGgehXH0MU,197560,1
11,Agua de La Tierra (Nicola Cruz Remix),3z55fMIOftbrZrZ0Z7WbbW,0.657,0.47,11,-11.241,0,0.355,0.254,0.139,0.1,93.032,3z55fMIOftbrZrZ0Z7WbbW,293990,0
12,Rivolta,6HPSzboswlKS4Juf6UvyPA,0.553,0.511,0,-10.079,1,0.0625,0.112,0.911,0.119,92.887,6HPSzboswlKS4Juf6UvyPA,311576,0
13,Rivolta,6HPSzboswlKS4Juf6UvyPA,0.553,0.511,0,-10.079,1,0.0625,0.112,0.911,0.119,92.887,6HPSzboswlKS4Juf6UvyPA,311576,0
14,Zoom Zoom,1gWnuGAiTk3Q4yrIbwymUK,0.678,0.849,7,-6.983,1,0.0367,0.0459,0.613,0.0833,94.003,1gWnuGAiTk3Q4yrIbwymUK,209800,1
15,Nanã,0Psz3az3RIYfJpnsajBT8N,0.685,0.735,4,-6.337,0,0.0334,0.191,0.038,0.188,94.035,0Psz3az3RIYfJpnsajBT8N,190827,1
16,Nanã,0Psz3az3RIYfJpnsajBT8N,0.685,0.735,4,-6.337,0,0.0334,0.191,0.038,0.188,94.035,0Psz3az3RIYfJpnsajBT8N,190827,1
17,Riverman,4sONjuAg3sv8wrJEU5xX1X,0.834,0.594,2,-8.731,1,0.14,0.258,0.0324,0.096,94.001,4sONjuAg3sv8wrJEU5xX1X,411813,2
18,SHE,2u8GDlTkOd3bLSXJM8ZmXg,0.698,0.812,9,-8.964,0,0.0397,0.0334,0.314,0.306,125.023,2u8GDlTkOd3bLSXJM8ZmXg,218653,1
19,SHE,2u8GDlTkOd3bLSXJM8ZmXg,0.698,0.812,9,-8.964,0,0.0397,0.0334,0.314,0.306,125.023,2u8GDlTkOd3bLSXJM8ZmXg,218653,1
20,Who Loves The Sun,2u2aognU8U2C3bPJO5pVmz,0.985,0.686,10,-9.905,0,0.051,0.189,0.669,0.193,120.004,2u2aognU8U2C3bPJO5pVmz,562239,2
21,W.I.Y.M,5nTKPwbC0R20aRWwFXP96B,0.757,0.641,2,-8.031,0,0.079,0.121,0.0719,0.0974,93.989,5nTKPwbC0R20aRWwFXP96B,229878,1
22,Canopée,260V7huyJrXnyYe0dFv2Fa,0.704,0.692,5,-6.558,0,0.0304,0.0942,0.0109,0.0922,96.005,260V7huyJrXnyYe0dFv2Fa,276293,0
23,Canopée,260V7huyJrXnyYe0dFv2Fa,0.704,0.692,5,-6.558,0,0.0304,0.0942,0.0109,0.0922,96.005,260V7huyJrXnyYe0dFv2Fa,276293,0
24,Skylines,3cOtbSBKncMbTioYNuk2VL,0.741,0.537,7,-7.68,1,0.0551,0.065,0.129,0.346,95.994,3cOtbSBKncMbTioYNuk2VL,215625,1
25,Cupa Cupa,76J87q672PfsZtaKcS6qzH,0.783,0.887,4,-7.324,0,0.0404,0.159,0.878,0.416,115.001,76J87q672PfsZtaKcS6qzH,365392,2
26,Feel Good,3NMFWhIDAdDGX3xmXOxHyo,0.643,0.748,2,-6.535,0,0.0386,0.235,0.191,0.815,96.004,3NMFWhIDAdDGX3xmXOxHyo,238465,1
27,Plage isolée (Soleil couchant),1caAr2Czh1TwWdozCcsLSC,0.783,0.437,10,-8.735,0,0.0333,0.0779,0.157,0.0805,96.996,1caAr2Czh1TwWdozCcsLSC,359035,0
28,Come,1YrC8s6yZWw23QxW6rfM9f,0.818,0.783,1,-6.534,1,0.0444,0.232,0.00886,0.0803,99.992,1YrC8s6yZWw23QxW6rfM9f,162267,1
29,Come,1YrC8s6yZWw23QxW6rfM9f,0.818,0.783,1,-6.534,1,0.0444,0.232,0.00886,0.0803,99.992,1YrC8s6yZWw23QxW6rfM9f,162267,1
30,Sonate pacifique,5Cs03vgzmWuvz7wXkm4gJ9,0.557,0.534,5,-8.863,1,0.0328,0.627,0.0192,0.425,99.99,5Cs03vgzmWuvz7wXkm4gJ9,348945,0
31,Esperar Pra Ver,7baNYnxas4NlQXcoj6kSmp,0.783,0.7,6,-7.862,0,0.0367,0.0329,0.249,0.0888,99.991,7baNYnxas4NlQXcoj6kSmp,300000,0
32,Cariñito (Los Hijos Del Sol),61X4VFQ8twPsxqq0U4Pbnc,0.779,0.37,7,-11.412,1,0.0495,0.515,0.777,0.0912,100.047,61X4VFQ8twPsxqq0U4Pbnc,259696,0
33,Cariñito (Los Hijos Del Sol),61X4VFQ8twPsxqq0U4Pbnc,0.779,0.37,7,-11.412,1,0.0495,0.515,0.777,0.0912,100.047,61X4VFQ8twPsxqq0U4Pbnc,259696,0
34,Now U Got Me Hooked,5tIhRlNkApQJoDA8zhOBUY,0.795,0.709,2,-5.928,1,0.0499,0.0109,0.687,0.105,100.492,5tIhRlNkApQJoDA8zhOBUY,351019,0
35,Vanille fraise,7nZ9CzhiFRPhOQCn7eDSnn,0.767,0.547,7,-11.458,0,0.0474,0.0399,0.485,0.0949,103.03,7nZ9CzhiFRPhOQCn7eDSnn,238183,1
36,Vanille fraise,7nZ9CzhiFRPhOQCn7eDSnn,0.767,0.547,7,-11.458,0,0.0474,0.0399,0.485,0.0949,103.03,7nZ9CzhiFRPhOQCn7eDSnn,238183,1
37,Long Lost Sunday Morning,0mE22UPAPbwQaTmxMOlpaH,0.767,0.534,9,-7.436,0,0.0547,0.211,2.14e-05,0.123,102.998,0mE22UPAPbwQaTmxMOlpaH,152326,1
38,Long Lost Sunday Morning,0mE22UPAPbwQaTmxMOlpaH,0.767,0.534,9,-7.436,0,0.0547,0.211,2.14e-05,0.123,102.998,0mE22UPAPbwQaTmxMOlpaH,152326,1
39,Flash,1IHQ9Rk4AKqyi6VZso6v07,0.651,0.739,2,-4.845,0,0.0433,0.186,0.81,0.0384,103.05,1IHQ9Rk4AKqyi6VZso6v07,179417,1
40,She's Too Good for Me,7FvQMTZuUJV5rtMQkDYmZz,0.682,0.801,5,-4.516,1,0.147,0.148,7.13e-06,0.211,103.052,7FvQMTZuUJV5rtMQkDYmZz,241396,1
41,Lose My Cool - Franc Moody Remix,4gdQamULpFs7WeyFGfmTCZ,0.82,0.509,1,-5.15,1,0.0419,0.0558,0.018,0.359,103.007,4gdQamULpFs7WeyFGfmTCZ,257302,0
42,Lose My Cool - Franc Moody Remix,4gdQamULpFs7WeyFGfmTCZ,0.82,0.509,1,-5.15,1,0.0419,0.0558,0.018,0.359,103.007,4gdQamULpFs7WeyFGfmTCZ,257302,0
43,The Sound of Violence (Cosmo Vitelli),27tQgsWuNaFswSGGvHbohM,0.576,0.803,8,-6.835,0,0.234,0.00387,0.0104,0.281,119.685,27tQgsWuNaFswSGGvHbohM,312293,0
44,Taste,6GbWNeR3P9MTCmSyPVHgb1,0.768,0.429,1,-9.401,1,0.0955,0.875,0.419,0.115,104.026,6GbWNeR3P9MTCmSyPVHgb1,225600,1
45,Don't Sing (Polo & Pan Remix),3e4OoM7ltrDn63xcZccpj1,0.77,0.576,1,-5.42,1,0.038,0.0231,0.0124,0.0903,103.993,3e4OoM7ltrDn63xcZccpj1,311950,0
46,Calentana,37qwlyAgQIUZIWpPM677Rc,0.895,0.491,8,-9.209,0,0.0669,0.278,0.85,0.117,104.013,37qwlyAgQIUZIWpPM677Rc,383000,2
47,Blow Up,0IlslRjqSs79lWIbZ2OnXT,0.693,0.406,9,-8.154,1,0.0524,0.571,0.782,0.115,104.987,0IlslRjqSs79lWIbZ2OnXT,315086,0
48,Out of Pocket,5JKHtELnCKvUsiAJboPVE3,0.894,0.558,5,-6.689,0,0.0466,0.0676,0.00276,0.0407,105.012,5JKHtELnCKvUsiAJboPVE3,202867,1
49,Out of Pocket,5JKHtELnCKvUsiAJboPVE3,0.894,0.558,5,-6.689,0,0.0466,0.0676,0.00276,0.0407,105.012,5JKHtELnCKvUsiAJboPVE3,202867,1
50,Palomita,5xWzVhDpu6hpcoiO2euL8u,0.833,0.541,6,-13.532,1,0.0709,0.12,0.687,0.0903,105.014,5xWzVhDpu6hpcoiO2euL8u,483825,2
51,Palomita,5xWzVhDpu6hpcoiO2euL8u,0.833,0.541,6,-13.532,1,0.0709,0.12,0.687,0.0903,105.014,5xWzVhDpu6hpcoiO2euL8u,483825,2
52,Tous les jours,4hFkSFTNAPvqVZxMmXUgVk,0.786,0.56,11,-8.775,0,0.0425,0.00362,0.000634,0.116,106.028,4hFkSFTNAPvqVZxMmXUgVk,167520,1
53,Weirdo - Remix,1TtiCjkUCw9vVHG8srFidT,0.843,0.752,11,-6.384,0,0.18,0.0383,1.96e-05,0.289,106.033,1TtiCjkUCw9vVHG8srFidT,173774,1
54,All Night,04jqhpf3oV06HtlmthfcZZ,0.885,0.485,10,-9.299,1,0.0872,0.0868,0.79,0.0883,106.394,04jqhpf3oV06HtlmthfcZZ,294211,0
55,All Night,04jqhpf3oV06HtlmthfcZZ,0.885,0.485,10,-9.299,1,0.0872,0.0868,0.79,0.0883,106.394,04jqhpf3oV06HtlmthfcZZ,294211,0
56,All Night,04jqhpf3oV06HtlmthfcZZ,0.885,0.485,10,-9.299,1,0.0872,0.0868,0.79,0.0883,106.394,04jqhpf3oV06HtlmthfcZZ,294211,0
57,Days Without You - Crussen Remix,4OTyCkoe7FXZVb1ezehQVR,0.894,0.517,10,-8.021,0,0.0365,0.0677,0.384,0.112,106.003,4OTyCkoe7FXZVb1ezehQVR,643116,2
58,Crazy - DRKTMS Remix,5dzaVAQYKPNeTYskiuLsKg,0.863,0.314,6,-10.089,0,0.455,0.361,0.0,0.532,105.709,5dzaVAQYKPNeTYskiuLsKg,242481,1
59,La Niña del Volcán (Polocorp Remix),0aw4Dcu2XxEuLtXaepPTEA,0.732,0.629,9,-8.461,0,0.0346,0.687,0.443,0.068,107.0,0aw4Dcu2XxEuLtXaepPTEA,324556,0
60,Molecules,45pvLeeK3mcKz1O8hPmYMX,0.848,0.606,5,-6.263,0,0.106,0.0283,0.00689,0.129,108.02,45pvLeeK3mcKz1O8hPmYMX,236152,1
61,Keeping Me Under,1PQNcWNJt5P9gSLRLA5gmT,0.795,0.549,2,-7.791,1,0.088,0.135,0.000109,0.115,108.012,1PQNcWNJt5P9gSLRLA5gmT,218926,1
62,Last Thoughts,788Fpm2mKElTdRnRPtzSgW,0.725,0.74,1,-7.971,0,0.0664,0.2,2.35e-05,0.12,108.011,788Fpm2mKElTdRnRPtzSgW,200000,1
63,Where Angels Fear To Tread,1ZqeykOaDmjkldzs7XGR4b,0.679,0.735,2,-6.218,0,0.136,0.23,0.602,0.148,107.998,1ZqeykOaDmjkldzs7XGR4b,225907,1
64,Where Angels Fear To Tread,1ZqeykOaDmjkldzs7XGR4b,0.679,0.735,2,-6.218,0,0.136,0.23,0.602,0.148,107.998,1ZqeykOaDmjkldzs7XGR4b,225907,1
65,The Player,1qkdOEgSzrTKIpEjm3MeLJ,0.651,0.763,4,-6.087,0,0.0336,0.0306,0.635,0.076,107.981,1qkdOEgSzrTKIpEjm3MeLJ,244485,1
66,10% (feat. Kali Uchis),41SwdQIX8Hy2u6fuEDgvWr,0.794,0.757,6,-6.644,0,0.123,0.0267,0.000306,0.0621,107.99,41SwdQIX8Hy2u6fuEDgvWr,186680,1
67,Pyor,5LaLNyGl84pmHpIJSiszyr,0.832,0.616,8,-7.656,1,0.0865,0.462,0.848,0.122,107.577,5LaLNyGl84pmHpIJSiszyr,261187,0
68,Help Me Lose My Mind,4FjT3dqUW2Uq0R3pMz5V7C,0.78,0.708,5,-5.692,0,0.0549,0.0395,0.0798,0.0516,109.023,4FjT3dqUW2Uq0R3pMz5V7C,244480,1
69,Help Me Lose My Mind,4FjT3dqUW2Uq0R3pMz5V7C,0.78,0.708,5,-5.692,0,0.0549,0.0395,0.0798,0.0516,109.023,4FjT3dqUW2Uq0R3pMz5V7C,244480,1
70,Doing Yoga,2N2QYANz84q0gQrWp4QTg8,0.732,0.76,4,-6.82,0,0.0922,0.214,0.00112,0.389,108.993,2N2QYANz84q0gQrWp4QTg8,291573,0
71,Papaya,30Jf4qTyfEJWDZj5VgIti5,0.799,0.491,10,-16.426,1,0.0924,0.0783,0.0277,0.106,110.01,30Jf4qTyfEJWDZj5VgIti5,218227,1
72,How Much (You Want Her) 2017,1B0ymvBm70MZR2TnZJUSXZ,0.654,0.665,8,-7.335,1,0.0571,0.0125,0.19,0.0872,109.965,1B0ymvBm70MZR2TnZJUSXZ,220627,1
73,Adagio,1buK3aj7PfV1nEtmpq7nEj,0.819,0.705,2,-7.412,0,0.0374,0.754,0.0382,0.207,109.989,1buK3aj7PfV1nEtmpq7nEj,251329,0
74,Maria,2vOfifh09XV8vAEj0dffVW,0.817,0.433,7,-12.748,1,0.0736,0.129,0.304,0.0848,110.008,2vOfifh09XV8vAEj0dffVW,356179,0
75,Maria,2vOfifh09XV8vAEj0dffVW,0.817,0.433,7,-12.748,1,0.0736,0.129,0.304,0.0848,110.008,2vOfifh09XV8vAEj0dffVW,356179,0
76,Maria,2vOfifh09XV8vAEj0dffVW,0.817,0.433,7,-12.748,1,0.0736,0.129,0.304,0.0848,110.008,2vOfifh09XV8vAEj0dffVW,356179,0
77,Around The Sun,0VrdF2Q4bSf5DWCnEPii0P,0.729,0.628,7,-5.127,1,0.0323,0.0896,0.0303,0.0956,110.011,0VrdF2Q4bSf5DWCnEPii0P,234493,1
78,She Don't Dance,4XOc8gjhKl7FvdD4CHBYIy,0.716,0.875,11,-4.664,0,0.0594,0.0213,2.57e-06,0.535,109.991,4XOc8gjhKl7FvdD4CHBYIy,226611,1
79,When We Break,3T6zu9vlpyVh8j6VMcuExZ,0.792,0.641,0,-9.242,1,0.0795,0.0914,0.0577,0.103,111.794,3T6zu9vlpyVh8j6VMcuExZ,284327,0
80,When We Break,3T6zu9vlpyVh8j6VMcuExZ,0.792,0.641,0,-9.242,1,0.0795,0.0914,0.0577,0.103,111.794,3T6zu9vlpyVh8j6VMcuExZ,284327,0
81,doyouwannabemine?,5xw1Bl7FMkQeQHFhpj7imK,0.726,0.687,9,-9.132,0,0.109,0.197,0.711,0.102,112.002,5xw1Bl7FMkQeQHFhpj7imK,258482,0
82,Feel Your Weight - Poolside Remix,1hgX0ZmmP7IRRjUFCIBrnQ,0.741,0.592,6,-9.059,0,0.0308,0.665,0.854,0.116,111.984,1hgX0ZmmP7IRRjUFCIBrnQ,310133,0
83,You and Me,1Z6u99PTG9w2t4mcIGoqqS,0.648,0.559,11,-8.424,0,0.128,0.285,0.103,0.116,113.054,1Z6u99PTG9w2t4mcIGoqqS,234240,1
84,Love Song,0DfobEmdknUeLyCXn2pc1P,0.768,0.445,9,-10.784,0,0.0409,0.368,0.34,0.113,114.047,0DfobEmdknUeLyCXn2pc1P,172160,1
85,Orange,2hDh3bYshCt0VvAWA2990q,0.81,0.682,7,-5.938,1,0.041,0.246,0.00128,0.102,113.791,2hDh3bYshCt0VvAWA2990q,337397,0
86,The Essential,6Ck6aMwdEFapfH2cwpiWiP,0.703,0.646,6,-9.907,0,0.0386,0.23,0.191,0.0852,113.986,6Ck6aMwdEFapfH2cwpiWiP,235253,1
87,Hard to Say Goodbye,5EWoUFIiguH1n2BjBoqbLf,0.703,0.768,10,-5.697,0,0.0359,0.117,0.413,0.288,113.984,5EWoUFIiguH1n2BjBoqbLf,252918,0
88,Hard to Say Goodbye,5EWoUFIiguH1n2BjBoqbLf,0.703,0.768,10,-5.697,0,0.0359,0.117,0.413,0.288,113.984,5EWoUFIiguH1n2BjBoqbLf,252918,0
89,Oh My God,55Q4grgucNUDMRP13CtL5I,0.816,0.669,4,-6.737,0,0.0454,0.0239,0.0189,0.182,113.932,55Q4grgucNUDMRP13CtL5I,200733,1
90,The End,4Bi0ExSgGmv4Nn1VCxCnW7,0.967,0.393,11,-13.127,0,0.197,0.12,0.302,0.0646,114.001,4Bi0ExSgGmv4Nn1VCxCnW7,493599,2
91,Talking,6uQe7SVjdDlRqDRAi0qnKg,0.897,0.569,8,-9.822,1,0.0529,0.0944,0.644,0.108,114.981,6uQe7SVjdDlRqDRAi0qnKg,202845,1
92,Talking,6uQe7SVjdDlRqDRAi0qnKg,0.897,0.569,8,-9.822,1,0.0529,0.0944,0.644,0.108,114.981,6uQe7SVjdDlRqDRAi0qnKg,202845,1
93,Something About You,5n9DJWUiwuKuPE9sCVbQ0n,0.861,0.602,2,-7.314,0,0.0617,0.369,0.0644,0.0751,114.978,5n9DJWUiwuKuPE9sCVbQ0n,225181,1
94,Something About You,5n9DJWUiwuKuPE9sCVbQ0n,0.861,0.602,2,-7.314,0,0.0617,0.369,0.0644,0.0751,114.978,5n9DJWUiwuKuPE9sCVbQ0n,225181,1
95,Annecy,33l6mcqUThweUWU9bbzLhn,0.604,0.709,9,-8.603,1,0.0288,0.0186,0.507,0.119,114.987,33l6mcqUThweUWU9bbzLhn,264800,0
96,Drinkee,5TBsLU9TSxjDLzMpsEgJsv,0.771,0.691,2,-7.593,1,0.0495,0.049,0.625,0.134,115.011,5TBsLU9TSxjDLzMpsEgJsv,299294,0
97,Midas,6VNooTY5w9A9wg1YUsEbKB,0.697,0.578,9,-5.213,0,0.095,0.393,0.379,0.106,114.995,6VNooTY5w9A9wg1YUsEbKB,218358,1
98,Midas,6VNooTY5w9A9wg1YUsEbKB,0.697,0.578,9,-5.213,0,0.095,0.393,0.379,0.106,114.995,6VNooTY5w9A9wg1YUsEbKB,218358,1
99,Zermatt,4snT9aRs3dBI4NjKIazBXR,0.95,0.434,6,-10.46,0,0.0598,0.0164,0.426,0.0886,115.042,4snT9aRs3dBI4NjKIazBXR,217500,1
100,Disco,4WAJGOk3hptP5THBvzpMxz,0.885,0.622,4,-8.478,0,0.0802,0.00638,0.93,0.188,115.037,4WAJGOk3hptP5THBvzpMxz,293825,0
101,Disco,4WAJGOk3hptP5THBvzpMxz,0.885,0.622,4,-8.478,0,0.0802,0.00638,0.93,0.188,115.037,4WAJGOk3hptP5THBvzpMxz,293825,0
102,Makeba,5JdLUE9D743ob2RtgmVpVx,0.824,0.656,2,-9.432,1,0.0704,0.388,0.506,0.253,116.068,5JdLUE9D743ob2RtgmVpVx,249533,0
103,Dance Moves,1DriOnyA5tFc2bUdM6nglI,0.824,0.75,10,-7.646,0,0.0477,0.177,0.0356,0.0705,116.005,1DriOnyA5tFc2bUdM6nglI,201376,1
104,Bambro Koyo Ganda,5EGJ7e7frJjYja6H4afzoT,0.723,0.571,1,-10.22,1,0.0572,0.21,0.334,0.133,115.518,5EGJ7e7frJjYja6H4afzoT,302428,0
105,Bambro Koyo Ganda,5EGJ7e7frJjYja6H4afzoT,0.723,0.571,1,-10.22,1,0.0572,0.21,0.334,0.133,115.518,5EGJ7e7frJjYja6H4afzoT,302428,0
106,Beach Jazz,3PbtKwVUqIZPvbQZarAC0w,0.795,0.738,10,-7.608,0,0.0445,0.205,0.349,0.109,116.003,3PbtKwVUqIZPvbQZarAC0w,320000,0
107,Beach Jazz,3PbtKwVUqIZPvbQZarAC0w,0.795,0.738,10,-7.608,0,0.0445,0.205,0.349,0.109,116.003,3PbtKwVUqIZPvbQZarAC0w,320000,0
108,On You,6EZWwoSA0gaOM2Y9SVm6Gu,0.694,0.68,1,-8.395,1,0.0323,0.339,0.0136,0.691,116.984,6EZWwoSA0gaOM2Y9SVm6Gu,197400,1
109,On You,6EZWwoSA0gaOM2Y9SVm6Gu,0.694,0.68,1,-8.395,1,0.0323,0.339,0.0136,0.691,116.984,6EZWwoSA0gaOM2Y9SVm6Gu,197400,1
110,Dream in Colour,2EJqUMec7cXR3HPWIhAH6I,0.735,0.793,7,-3.947,1,0.0445,0.026,0.0501,0.43,116.723,2EJqUMec7cXR3HPWIhAH6I,198584,1
111,Dream in Colour,2EJqUMec7cXR3HPWIhAH6I,0.735,0.793,7,-3.947,1,0.0445,0.026,0.0501,0.43,116.723,2EJqUMec7cXR3HPWIhAH6I,198584,1
112,Light up for You,0zehDaqqfHz4zLWro5qUTh,0.738,0.632,7,-8.107,0,0.0862,0.242,0.0,0.072,118.003,0zehDaqqfHz4zLWro5qUTh,223792,1
113,Light up for You,0zehDaqqfHz4zLWro5qUTh,0.738,0.632,7,-8.107,0,0.0862,0.242,0.0,0.072,118.003,0zehDaqqfHz4zLWro5qUTh,223792,1
114,Clap Your Hands,7DM5k4ql2H94jNn0kN0SaU,0.823,0.638,4,-11.364,0,0.055,0.232,0.211,0.0961,117.984,7DM5k4ql2H94jNn0kN0SaU,305532,0
115,Shutdown,4Mm3vsHKs6CwoH7hwUzfFJ,0.796,0.59,9,-9.904,0,0.0918,0.197,0.457,0.154,118.011,4Mm3vsHKs6CwoH7hwUzfFJ,232053,1
116,Shutdown,4Mm3vsHKs6CwoH7hwUzfFJ,0.796,0.59,9,-9.904,0,0.0918,0.197,0.457,0.154,118.011,4Mm3vsHKs6CwoH7hwUzfFJ,232053,1
117,Moon,0Nc1rZEB2tZLgpxw5nkpEu,0.663,0.658,2,-10.001,1,0.0345,0.295,0.867,0.102,117.986,0Nc1rZEB2tZLgpxw5nkpEu,390639,2
118,Dorothy,2GuIRSthEpYN5MO6PGD7Vx,0.803,0.427,8,-10.819,1,0.0509,0.0245,0.405,0.0953,118.008,2GuIRSthEpYN5MO6PGD7Vx,316373,0
119,Dorothy,2GuIRSthEpYN5MO6PGD7Vx,0.803,0.427,8,-10.819,1,0.0509,0.0245,0.405,0.0953,118.008,2GuIRSthEpYN5MO6PGD7Vx,316373,0
120,A Night In The Box,5xMf8gZ7kFCMR646jBXiV4,0.798,0.675,1,-9.431,0,0.138,0.0132,0.526,0.115,118.014,5xMf8gZ7kFCMR646jBXiV4,196280,1
121,A Night In The Box,5xMf8gZ7kFCMR646jBXiV4,0.798,0.675,1,-9.431,0,0.138,0.0132,0.526,0.115,118.014,5xMf8gZ7kFCMR646jBXiV4,196280,1
122,A Night In The Box,5xMf8gZ7kFCMR646jBXiV4,0.798,0.675,1,-9.431,0,0.138,0.0132,0.526,0.115,118.014,5xMf8gZ7kFCMR646jBXiV4,196280,1
123,A Night In The Box,5xMf8gZ7kFCMR646jBXiV4,0.798,0.675,1,-9.431,0,0.138,0.0132,0.526,0.115,118.014,5xMf8gZ7kFCMR646jBXiV4,196280,1
124,Le chat,6mky8EFfaG4z5Eth3EzCd5,0.736,0.59,3,-9.46,0,0.0378,0.0233,0.381,0.0909,118.009,6mky8EFfaG4z5Eth3EzCd5,168814,1
125,Sene Kela - Mr Raoul K & Laolu Version,2q4Cmh6aty19e5Y2draZyj,0.721,0.548,5,-14.804,0,0.0369,0.166,0.547,0.0584,118.005,2q4Cmh6aty19e5Y2draZyj,443142,2
126,Ananas,48Wa26EAi58eDeGIyBc3ws,0.81,0.557,9,-9.936,0,0.0391,0.5,0.539,0.115,117.967,48Wa26EAi58eDeGIyBc3ws,278000,0
127,YOU'RE THE ONE,2b4SSorCTQ2VzmllaeWuuT,0.824,0.396,2,-9.663,1,0.332,0.0323,0.00289,0.108,118.053,2b4SSorCTQ2VzmllaeWuuT,227707,1
128,Underwater,5ZvHcR4OSwvEV5IhigbTOT,0.611,0.809,6,-6.63,0,0.0342,0.019,0.0185,0.114,118.003,5ZvHcR4OSwvEV5IhigbTOT,349293,0
129,Underwater,5ZvHcR4OSwvEV5IhigbTOT,0.611,0.809,6,-6.63,0,0.0342,0.019,0.0185,0.114,118.003,5ZvHcR4OSwvEV5IhigbTOT,349293,0
130,Underwater,5ZvHcR4OSwvEV5IhigbTOT,0.611,0.809,6,-6.63,0,0.0342,0.019,0.0185,0.114,118.003,5ZvHcR4OSwvEV5IhigbTOT,349293,0
131,Fade Out Lines,3VjFTsWQLvOVr2oJ4PMyjC,0.855,0.693,8,-5.662,0,0.0308,0.0165,0.0794,0.118,119.004,3VjFTsWQLvOVr2oJ4PMyjC,276000,0
132,Fireball (feat. Broken Back),5znEiVKJITQ1JProGoHht6,0.83,0.677,6,-6.012,0,0.0945,0.224,4.71e-06,0.0438,120.004,5znEiVKJITQ1JProGoHht6,190000,1
133,Halcyon Birds,1WC2ctyzNjpgkhF0dplias,0.724,0.652,6,-9.385,1,0.0363,0.194,0.0119,0.256,120.004,1WC2ctyzNjpgkhF0dplias,273653,0
134,Halcyon Birds,1WC2ctyzNjpgkhF0dplias,0.724,0.652,6,-9.385,1,0.0363,0.194,0.0119,0.256,120.004,1WC2ctyzNjpgkhF0dplias,273653,0
135,Happiest Man on Earth - Radio Edit,6kgQgyqTTqYS6Kzr1G4I79,0.771,0.775,8,-5.198,0,0.0399,0.109,0.0,0.257,120.02,6kgQgyqTTqYS6Kzr1G4I79,183173,1
136,The Finishing,2SCLswvRP8hAYdIKsrLV6h,0.773,0.377,9,-12.653,1,0.0455,0.655,0.829,0.122,119.975,2SCLswvRP8hAYdIKsrLV6h,482983,2
137,TERRITORY,2W3EgJst61RLZtPPm3EQim,0.563,0.44,9,-11.943,0,0.0822,0.286,0.683,0.269,120.009,2W3EgJst61RLZtPPm3EQim,276373,0
138,Icky Thump,7aBAo2pO8LvrN8mGba7MvA,0.415,0.632,9,-7.243,1,0.0927,0.021,0.0117,0.0545,97.689,7aBAo2pO8LvrN8mGba7MvA,254533,0
139,Do I Wanna Know?,5FVd6KXrgO9B3JPmC8OPst,0.548,0.532,5,-7.596,1,0.0323,0.186,0.000263,0.217,85.03,5FVd6KXrgO9B3JPmC8OPst,272394,0
140,Take Me Out,6ooluO7DiEhI1zmK94nRCM,0.278,0.676,9,-8.821,1,0.0371,0.000423,0.000899,0.136,104.545,6ooluO7DiEhI1zmK94nRCM,237027,1
