,Track,Track_ID,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,tempo,id,duration_ms,Cluster
1298,Velvet,1IvH7FPqAfmpqBuYK2jimb,0.699,0.324,6,-13.856,0,0.0541,0.11,0.901,0.1,109.006,1IvH7FPqAfmpqBuYK2jimb,328322,0
1299,Minor Swag,1HmAx26E2PIQBWhRv0VSAV,0.841,0.464,4,-10.889,0,0.113,0.106,0.549,0.112,114.993,1HmAx26E2PIQBWhRv0VSAV,404957,2
1300,Palm Tree Memories - n'to Remix,7kbaX2gvfPayg8ZmQSmnst,0.764,0.35,4,-13.974,0,0.0721,0.177,0.943,0.165,122.004,7kbaX2gvfPayg8ZmQSmnst,419515,2
1301,For Eternity,6P5UkdN37P4Pa5wwns5h1R,0.716,0.341,7,-13.024,0,0.0336,0.044,0.691,0.75,110.981,6P5UkdN37P4Pa5wwns5h1R,331426,0
1302,Tarlabasi,4NiruD8smUouwo5rFJI9Pr,0.722,0.453,7,-10.043,1,0.0735,0.0989,0.94,0.112,99.951,4NiruD8smUouwo5rFJI9Pr,542440,2
1303,15 K,2RtvxwOpCg5U8xsteOw0AY,0.81,0.489,8,-11.539,0,0.0823,0.00113,0.921,0.0438,117.986,2RtvxwOpCg5U8xsteOw0AY,480000,2
1304,When I Get There,2sKTYRCgUHXmIhI2hoBuZE,0.694,0.483,0,-7.157,1,0.0359,0.000196,0.557,0.134,96.029,2sKTYRCgUHXmIhI2hoBuZE,220000,1
1305,When We Fall - Constantijn Lange Remix,5qKSimJQD0qC1ILQGyAxN3,0.811,0.387,7,-14.06,1,0.213,0.102,0.868,0.48,119.996,5qKSimJQD0qC1ILQGyAxN3,466291,2
1306,365 - Anton Ishutin Remix,4QJsjNVSSboy4WM2ptPxKr,0.799,0.555,8,-9.168,0,0.0414,0.0184,0.0311,0.0519,116.001,4QJsjNVSSboy4WM2ptPxKr,372419,2
1307,Climbing Trees - Original Mix,1VivLRrhAMcgibxr5ExPqF,0.775,0.486,0,-13.334,0,0.0442,0.501,0.726,0.0709,124.999,1VivLRrhAMcgibxr5ExPqF,526825,2
1308,Something More,5gf6B78U9yT5inZsJidlVO,0.858,0.492,8,-6.626,1,0.0397,0.15,0.881,0.0922,95.004,5gf6B78U9yT5inZsJidlVO,366890,2
1309,Something More,5gf6B78U9yT5inZsJidlVO,0.858,0.492,8,-6.626,1,0.0397,0.15,0.881,0.0922,95.004,5gf6B78U9yT5inZsJidlVO,366890,2
1310,Echo,1n1B0HUz8e8rp89QWx1IKC,0.761,0.7,7,-9.494,0,0.0431,0.137,0.58,0.0731,120.008,1n1B0HUz8e8rp89QWx1IKC,425563,2
1311,Maan,4KS6uddfchDJXh0WkBVH5D,0.599,0.718,10,-10.258,0,0.0464,0.000884,0.96,0.0902,123.996,4KS6uddfchDJXh0WkBVH5D,450277,2
1312,Eating Hooks - Siriusmo Remix - Solomun Edit,3357DDeO0lAVcAXfd0USz4,0.661,0.728,8,-8.713,1,0.0379,0.00818,0.652,0.0599,123.994,3357DDeO0lAVcAXfd0USz4,422200,2
1313,Dragon Games,7sh6LBtW65MnQr50AryBhc,0.691,0.517,5,-11.267,0,0.0364,0.00976,0.368,0.171,120.992,7sh6LBtW65MnQr50AryBhc,484508,2
1314,Again,5G4yd12liH5nHsuOB3UDjw,0.777,0.628,9,-10.291,0,0.0881,0.0855,0.861,0.098,120.002,5G4yd12liH5nHsuOB3UDjw,519291,2
