,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
1490,0.735,0.621,4,-9.407,0,0.0428,0.127,0.537,0.101,0.364,105.034,audio_features,72Qac2FQd9e21XCibSOhfY,spotify:track:72Qac2FQd9e21XCibSOhfY,https://api.spotify.com/v1/tracks/72Qac2FQd9e21XCibSOhfY,https://api.spotify.com/v1/audio-analysis/72Qac2FQd9e21XCibSOhfY,347529,4
1491,0.827,0.768,7,-9.819,0,0.0485,0.126,0.225,0.0618,0.193,119.025,audio_features,78I5eEb09Gps5jJxp4PwS4,spotify:track:78I5eEb09Gps5jJxp4PwS4,https://api.spotify.com/v1/tracks/78I5eEb09Gps5jJxp4PwS4,https://api.spotify.com/v1/audio-analysis/78I5eEb09Gps5jJxp4PwS4,388480,4
1492,0.814,0.596,5,-12.211,0,0.0579,0.0147,0.887,0.0689,0.598,122.011,audio_features,0fgXGILFgqaUGnORKIMv64,spotify:track:0fgXGILFgqaUGnORKIMv64,https://api.spotify.com/v1/tracks/0fgXGILFgqaUGnORKIMv64,https://api.spotify.com/v1/audio-analysis/0fgXGILFgqaUGnORKIMv64,396000,4
1493,0.77,0.669,1,-8.897,1,0.0425,0.0164,0.82,0.0809,0.394,115.994,audio_features,6cUqwmaSHB6bzwAd3TNF2a,spotify:track:6cUqwmaSHB6bzwAd3TNF2a,https://api.spotify.com/v1/tracks/6cUqwmaSHB6bzwAd3TNF2a,https://api.spotify.com/v1/audio-analysis/6cUqwmaSHB6bzwAd3TNF2a,399466,4
1494,0.773,0.726,6,-7.502,1,0.0509,0.00223,0.88,0.0577,0.391,121.005,audio_features,1t9fEpXv4pwNjk3lvir5fk,spotify:track:1t9fEpXv4pwNjk3lvir5fk,https://api.spotify.com/v1/tracks/1t9fEpXv4pwNjk3lvir5fk,https://api.spotify.com/v1/audio-analysis/1t9fEpXv4pwNjk3lvir5fk,420497,4
1495,0.696,0.534,0,-10.583,1,0.0423,0.000369,0.463,0.0799,0.678,114.991,audio_features,5foz4U3rwtDfEgnBsxWFIi,spotify:track:5foz4U3rwtDfEgnBsxWFIi,https://api.spotify.com/v1/tracks/5foz4U3rwtDfEgnBsxWFIi,https://api.spotify.com/v1/audio-analysis/5foz4U3rwtDfEgnBsxWFIi,268896,4
1496,0.566,0.713,5,-9.134,1,0.034,0.255,0.944,0.109,0.18,117.987,audio_features,47x1Gh7yk5mblUWxWRdtjH,spotify:track:47x1Gh7yk5mblUWxWRdtjH,https://api.spotify.com/v1/tracks/47x1Gh7yk5mblUWxWRdtjH,https://api.spotify.com/v1/audio-analysis/47x1Gh7yk5mblUWxWRdtjH,202107,4
1497,0.71,0.697,0,-9.569,1,0.0373,0.174,0.838,0.134,0.352,122.006,audio_features,0f0akmH768sNyykkYNDL7e,spotify:track:0f0akmH768sNyykkYNDL7e,https://api.spotify.com/v1/tracks/0f0akmH768sNyykkYNDL7e,https://api.spotify.com/v1/audio-analysis/0f0akmH768sNyykkYNDL7e,480301,4
1498,0.847,0.499,6,-9.596,0,0.0675,0.217,0.801,0.1,0.897,125.004,audio_features,0eKeJZbIVUjHUzqsO4FWgx,spotify:track:0eKeJZbIVUjHUzqsO4FWgx,https://api.spotify.com/v1/tracks/0eKeJZbIVUjHUzqsO4FWgx,https://api.spotify.com/v1/audio-analysis/0eKeJZbIVUjHUzqsO4FWgx,436993,4
1499,0.758,0.703,10,-10.398,0,0.0433,0.000144,0.922,0.16,0.109,115.995,audio_features,3xLe27fTxJR7aNvG3vAwUS,spotify:track:3xLe27fTxJR7aNvG3vAwUS,https://api.spotify.com/v1/tracks/3xLe27fTxJR7aNvG3vAwUS,https://api.spotify.com/v1/audio-analysis/3xLe27fTxJR7aNvG3vAwUS,407719,4
1500,0.803,0.786,7,-6.52,1,0.0476,0.0132,0.844,0.0997,0.231,123.992,audio_features,6w34WET74gpB5q7HjCs3Zv,spotify:track:6w34WET74gpB5q7HjCs3Zv,https://api.spotify.com/v1/tracks/6w34WET74gpB5q7HjCs3Zv,https://api.spotify.com/v1/audio-analysis/6w34WET74gpB5q7HjCs3Zv,441417,4
1501,0.77,0.765,10,-7.63,0,0.0455,0.0511,0.0475,0.242,0.858,114.002,audio_features,55SeR1UwdtRaQlBjimhTdR,spotify:track:55SeR1UwdtRaQlBjimhTdR,https://api.spotify.com/v1/tracks/55SeR1UwdtRaQlBjimhTdR,https://api.spotify.com/v1/audio-analysis/55SeR1UwdtRaQlBjimhTdR,275773,4
1502,0.716,0.951,10,-3.547,1,0.344,0.0109,0.000372,0.666,0.436,122.02,audio_features,6mWQ1VElM1RtiZfDgT2GPu,spotify:track:6mWQ1VElM1RtiZfDgT2GPu,https://api.spotify.com/v1/tracks/6mWQ1VElM1RtiZfDgT2GPu,https://api.spotify.com/v1/audio-analysis/6mWQ1VElM1RtiZfDgT2GPu,259480,4
1503,0.713,0.555,7,-11.4,1,0.0488,0.104,0.77,0.0614,0.258,106.007,audio_features,35Tb3Ii35rcvP1qyRQsW1a,spotify:track:35Tb3Ii35rcvP1qyRQsW1a,https://api.spotify.com/v1/tracks/35Tb3Ii35rcvP1qyRQsW1a,https://api.spotify.com/v1/audio-analysis/35Tb3Ii35rcvP1qyRQsW1a,470896,4
1504,0.74,0.828,7,-8.151,1,0.0698,0.00762,0.558,0.112,0.711,124.021,audio_features,3rWSVB8ImDF3x1P22txCPe,spotify:track:3rWSVB8ImDF3x1P22txCPe,https://api.spotify.com/v1/tracks/3rWSVB8ImDF3x1P22txCPe,https://api.spotify.com/v1/audio-analysis/3rWSVB8ImDF3x1P22txCPe,419015,4
1505,0.748,0.786,4,-7.919,0,0.044,0.00851,0.901,0.156,0.52,120.001,audio_features,4AI4LBwlUNO65wlYT320o6,spotify:track:4AI4LBwlUNO65wlYT320o6,https://api.spotify.com/v1/tracks/4AI4LBwlUNO65wlYT320o6,https://api.spotify.com/v1/audio-analysis/4AI4LBwlUNO65wlYT320o6,518000,4
1506,0.772,0.485,11,-14.388,0,0.0611,0.000391,0.847,0.0913,0.156,120.0,audio_features,0ENV8cY0bwun9qSQkh195f,spotify:track:0ENV8cY0bwun9qSQkh195f,https://api.spotify.com/v1/tracks/0ENV8cY0bwun9qSQkh195f,https://api.spotify.com/v1/audio-analysis/0ENV8cY0bwun9qSQkh195f,385103,4
